"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categoryName","cid","city","countryCode","error","errorDescription","fid","imageUrl","isAdvertisement","isLocalGuide","likesCount","location/lat","location/lng","name","neighborhood","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/null","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewImageUrls/26","reviewImageUrls/27","reviewImageUrls/28","reviewImageUrls/29","reviewImageUrls/30","reviewImageUrls/31","reviewImageUrls/32","reviewImageUrls/33","reviewImageUrls/34","reviewImageUrls/35","reviewImageUrls/36","reviewImageUrls/37","reviewImageUrls/38","reviewImageUrls/39","reviewImageUrls/40","reviewImageUrls/41","reviewImageUrls/42","reviewImageUrls/43","reviewImageUrls/44","reviewImageUrls/45","reviewImageUrls/46","reviewImageUrls/47","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","url","visitedIn"
,"Electrician","Service establishment",,,,,"Electrician","2028973047536584427",,,"no_reviews","Place ""Lanco Services, LLC"" (ID: ChIJqaHjDP0tj4gR64ZCnTxcKBw) has no reviews","0x888f2dfd0ce3a1a9:0x1c285c3c9d4286eb",,"false",,,,,,,"false","ChIJqaHjDP0tj4gR64ZCnTxcKBw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJqaHjDP0tj4gR64ZCnTxcKBw&query_place_id=ChIJqaHjDP0tj4gR64ZCnTxcKBw",,,,"false",,,"Lanco Services, LLC",,"https://www.google.com/maps/search/?api=1&query=Lanco%20Services%2C%20LLC&query_place_id=ChIJqaHjDP0tj4gR64ZCnTxcKBw",
"701 S Spring St South, Talladega, AL 35160","Electrician",,,,,,"Electrician","7305553813694204293","Talladega","US",,,"0x888bdcc508ac176d:0x65628a7cb0be4985","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oFhTJpfjrsco8DMzJcxOEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.32718&pitch=0&thumbfov=100","false","true","0","33.4272238","-86.1037234","Tracy McGuire",,"false","ChIJbResCMXci4gRhUm-sHyKYmU","35160",,"5 years ago","2019-10-16T16:16:37.738Z",,,,,"ChZDSUhNMG9nS0VJQ0FnSUMwNDgzRFpREAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMwNDgzRFpREAE!2m1!1s0x0:0x65628a7cb0be4985!3m1!1s2@1:CIHM0ogKEICAgIC0483DZQ%7CCgwI5YSd7QUQ0NuC4AI%7C?hl=en","101444755698375010272","27","https://lh3.googleusercontent.com/a-/ALV-UjUo-EKhU6UApm_7UqSS37BEWoNQQBRQ7qdOICbxz6Unvxd8TXT7lw=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/101444755698375010272?hl=en","3","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJbResCMXci4gRhUm-sHyKYmU&query_place_id=ChIJbResCMXci4gRhUm-sHyKYmU","1","Alabama","701 S Spring St South","false","Not recommended.",,"Southern Pride Electric","2","https://www.google.com/maps/search/?api=1&query=Southern%20Pride%20Electric&query_place_id=ChIJbResCMXci4gRhUm-sHyKYmU",
"701 S Spring St South, Talladega, AL 35160","Electrician",,,,,,"Electrician","7305553813694204293","Talladega","US",,,"0x888bdcc508ac176d:0x65628a7cb0be4985","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oFhTJpfjrsco8DMzJcxOEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.32718&pitch=0&thumbfov=100","false","false","0","33.4272238","-86.1037234","shane roney",,"false","ChIJbResCMXci4gRhUm-sHyKYmU","35160",,"5 years ago","2019-04-09T18:16:08.745Z",,,,,"ChZDSUhNMG9nS0VJQ0FnSUNZc3AzTFJBEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNZc3AzTFJBEAE!2m1!1s0x0:0x65628a7cb0be4985!3m1!1s2@1:CIHM0ogKEICAgICYsp3LRA%7CCgwI6MKz5QUQkPWv4wI%7C?hl=en","110233191906258550914","6","https://lh3.googleusercontent.com/a/ACg8ocJsrlQNVSihI_PLUDHyCXjz5sIv2rbulFWPMyur6Z5K1nfb2Q=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110233191906258550914?hl=en","3","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJbResCMXci4gRhUm-sHyKYmU&query_place_id=ChIJbResCMXci4gRhUm-sHyKYmU","1","Alabama","701 S Spring St South","false","Run don’t walk away from this electrician. Actually to call this person an electrician is an insult to all electricians everywhere. They were asked to add an outlet in the hallway of this home and they used a hammer to knock a hole in the paneling and just shoved an outlet in the hole without a junction box and they connected the outlet to a circuit that was ungrounded so he cut the ground wire out and didn’t gfi protect it. This guy made many, many other code violations in this house. And I would be surprised if this person were actually licensed with the state. If they are licensed they need to be reported to the state board of licenses for official review. Anyone who willfully violates Electrical codes with this much reckless abandon and actually charges people for it needs to be run out of business. I say all of this because I am a state licensed master electrician and I was called in to clean up this guys mess.",,"Southern Pride Electric","2","https://www.google.com/maps/search/?api=1&query=Southern%20Pride%20Electric&query_place_id=ChIJbResCMXci4gRhUm-sHyKYmU",
"701 S Spring St South, Talladega, AL 35160","Electrician",,,,,,"Electrician","7305553813694204293","Talladega","US",,,"0x888bdcc508ac176d:0x65628a7cb0be4985","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oFhTJpfjrsco8DMzJcxOEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.32718&pitch=0&thumbfov=100","false","false","0","33.4272238","-86.1037234","James Evans",,"false","ChIJbResCMXci4gRhUm-sHyKYmU","35160",,"7 years ago","2017-03-24T04:25:31.339Z",,,,,"ChdDSUhNMG9nS0VJQ0FnSURRNzZib3pRRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURRNzZib3pRRRAB!2m1!1s0x0:0x65628a7cb0be4985!3m1!1s2@1:CIHM0ogKEICAgIDQ76bozQE%7CCgwIu7_SxgUQwPXSoQE%7C?hl=en","100554522331634479667","0","https://lh3.googleusercontent.com/a/ACg8ocJLBs4XBiO4tqRo7hrm5f9vb_Y5axQqrejj088Y4c6c1q8oxQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100554522331634479667?hl=en","3","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJbResCMXci4gRhUm-sHyKYmU&query_place_id=ChIJbResCMXci4gRhUm-sHyKYmU","4","Alabama","701 S Spring St South","false",,,"Southern Pride Electric","2","https://www.google.com/maps/search/?api=1&query=Southern%20Pride%20Electric&query_place_id=ChIJbResCMXci4gRhUm-sHyKYmU",
"764 W Renfroe Rd, Talladega, AL 35160","Electrician",,,,,,"Electrician","7076365133627529986","Talladega","US","no_reviews","Place ""Brannon Electric"" (ID: ChIJN6fC3Srci4gRAhvUyphMNGI) has no reviews","0x888bdc2addc2a737:0x62344c98cad41b02","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JxPuyX8AL_76StKhrG-L5A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=352.55276&pitch=0&thumbfov=100","false",,,"33.4257336","-86.1734673",,,"false","ChIJN6fC3Srci4gRAhvUyphMNGI","35160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJN6fC3Srci4gRAhvUyphMNGI&query_place_id=ChIJN6fC3Srci4gRAhvUyphMNGI",,"Alabama","764 W Renfroe Rd","false",,,"Brannon Electric",,"https://www.google.com/maps/search/?api=1&query=Brannon%20Electric&query_place_id=ChIJN6fC3Srci4gRAhvUyphMNGI",
,"Electrician","Service establishment",,,,,"Electrician","16585603330188305925",,,,,"0x88928b94d8e20457:0xe62be65ac168e605","https://lh5.googleusercontent.com/p/AF1QipN9RwCDCxxAZ-BVlvM-wsH4BqE4VyK9WjThZNc7=w426-h240-k-no","false","true","0","31.1950109","-85.355932","Jelly Starfish",,"false","ChIJVwTi2JSLkogRBeZowVrmK-Y",,,"6 days ago","2025-01-27T19:00:43.220Z",,"2025-01-28T15:10:29.000Z","Thank you for the kind words! ",,"ChdDSUhNMG9nS0VJQ0FnSURfcF9UYTB3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURfcF9UYTB3RRAB!2m1!1s0x0:0xe62be65ac168e605!3m1!1s2@1:CIHM0ogKEICAgID_p_Ta0wE%7CCgsI26_fvAYQkIWBaQ%7C?hl=en","115296821622185434639","22","https://lh3.googleusercontent.com/a-/ALV-UjXMiVIrlX2ku2PL5VAM71UJus1BFVyjYmXbeHzPP1-YWo7SZIP_=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/115296821622185434639?hl=en","23","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJVwTi2JSLkogRBeZowVrmK-Y&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y","5",,,"false","Ok, so they have a $150 fee to come out. It's honestly worth it. We had 4 outlets stop working entirely in our tiny home and didn't know what to do because nothing seemed wrong. Two guys showed up. They were as prepared as they could ever be, found the wire problem (that was in the ceiling, mind you), and got us back to full operation within an hour. They were good sports too, even explained what they were doing in a way I could understand. 10/10 would and will call again when something else happens. Thank you.",,"Dr. Watts Electric Service","4.8","https://www.google.com/maps/search/?api=1&query=Dr.%20Watts%20Electric%20Service&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y",
,"Electrician","Service establishment",,,,,"Electrician","16585603330188305925",,,,,"0x88928b94d8e20457:0xe62be65ac168e605","https://lh5.googleusercontent.com/p/AF1QipN9RwCDCxxAZ-BVlvM-wsH4BqE4VyK9WjThZNc7=w426-h240-k-no","false","false","0","31.1950109","-85.355932","Nicholas J. VanSlyke",,"false","ChIJVwTi2JSLkogRBeZowVrmK-Y",,,"2 months ago","2024-11-08T17:31:03.482Z",,"2024-11-08T19:53:26.000Z","Thank you for the kind words!",,"ChZDSUhNMG9nS0VJQ0FnSUMzbzZyZ1hnEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMzbzZyZ1hnEAE!2m1!1s0x0:0xe62be65ac168e605!3m1!1s2@1:CIHM0ogKEICAgIC3o6rgXg%7CCgwI15W5uQYQiIGf5gE%7C?hl=en","109820029347248640859","5","https://lh3.googleusercontent.com/a-/ALV-UjUKXFCHS0jFw1lbk9sQpv_nGElEBxfOjyVdlv5P4JujE1pWO7KM=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109820029347248640859?hl=en","23","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJVwTi2JSLkogRBeZowVrmK-Y&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y","5",,,"false","Dr. Watts electrical company is incredible -

2 days ago, my family’s A/C and dryer were not getting any electricity from our house’s breaker box due to a malfunction. After consulting with two other electricians, I was being told that the only solution would be to replace the entire breaker box - a solution that is not simple nor cheap.

However, we called Dr. Watts as a final hope and he came through. And it only took 25 minutes.

Not only did he fix our A/C and dryer’s electrical issues, he actually took the time the fix up the rest of our electrical wiring in the breaker box, and then explained to my wife and I the work he did, and why what he did was successful.

I will be contacting Dr. Watts for any and all services, and I highly recommend him as the go-to electrician in the Fort Novosel / Enterprise / Daleville / Ozark / Dothan Alabama area.",,"Dr. Watts Electric Service","4.8","https://www.google.com/maps/search/?api=1&query=Dr.%20Watts%20Electric%20Service&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y",
,"Electrician","Service establishment",,,,,"Electrician","16585603330188305925",,,,,"0x88928b94d8e20457:0xe62be65ac168e605","https://lh5.googleusercontent.com/p/AF1QipN9RwCDCxxAZ-BVlvM-wsH4BqE4VyK9WjThZNc7=w426-h240-k-no","false","false","0","31.1950109","-85.355932","Gail Scott",,"false","ChIJVwTi2JSLkogRBeZowVrmK-Y",,,"3 months ago","2024-10-15T15:25:51.709Z",,,,,"ChdDSUhNMG9nS0VJQ0FnSUNYdXFySGl3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNYdXFySGl3RRAB!2m1!1s0x0:0xe62be65ac168e605!3m1!1s2@1:CIHM0ogKEICAgICXuqrHiwE%7CCgwI_5K6uAYQqPKN0gI%7C?hl=en","110570883510187798257","7","https://lh3.googleusercontent.com/a-/ALV-UjWiMsVcixCgR6hUVN5fmfEonF4ScEZiQSVPrnSKsgUu8qCeY1UaNw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110570883510187798257?hl=en","23","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJVwTi2JSLkogRBeZowVrmK-Y&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y","5",,,"false","They showed up exactly when they said they would and did an excellent job!  I would recommend them!!!",,"Dr. Watts Electric Service","4.8","https://www.google.com/maps/search/?api=1&query=Dr.%20Watts%20Electric%20Service&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y",
,"Electrician","Service establishment",,,,,"Electrician","16585603330188305925",,,,,"0x88928b94d8e20457:0xe62be65ac168e605","https://lh5.googleusercontent.com/p/AF1QipN9RwCDCxxAZ-BVlvM-wsH4BqE4VyK9WjThZNc7=w426-h240-k-no","false","false","0","31.1950109","-85.355932","Linda Council",,"false","ChIJVwTi2JSLkogRBeZowVrmK-Y",,,"8 months ago","2024-05-21T13:22:36.682Z",,,,,"ChdDSUhNMG9nS0VJQ0FnSURUa0wzYTlRRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURUa0wzYTlRRRAB!2m1!1s0x0:0xe62be65ac168e605!3m1!1s2@1:CIHM0ogKEICAgIDTkL3a9QE%7CCgwInMCysgYQyMzLxQI%7C?hl=en","107315026419929705392","10","https://lh3.googleusercontent.com/a/ACg8ocJtChXbB9Mf_z9pkoNskIPglWLhmI8wN5OLx4lFzc2FWGK6yQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107315026419929705392?hl=en","23","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJVwTi2JSLkogRBeZowVrmK-Y&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y","5",,,"false","On time,good work,and very reasonable prices.I would highly recommend",,"Dr. Watts Electric Service","4.8","https://www.google.com/maps/search/?api=1&query=Dr.%20Watts%20Electric%20Service&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y",
,"Electrician","Service establishment",,,,,"Electrician","16585603330188305925",,,,,"0x88928b94d8e20457:0xe62be65ac168e605","https://lh5.googleusercontent.com/p/AF1QipN9RwCDCxxAZ-BVlvM-wsH4BqE4VyK9WjThZNc7=w426-h240-k-no","false","false","0","31.1950109","-85.355932","Tara Knight",,"false","ChIJVwTi2JSLkogRBeZowVrmK-Y",,,"9 months ago","2024-04-25T17:10:47.576Z",,,,,"ChZDSUhNMG9nS0VJQ0FnSUNqOC1mdFJBEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNqOC1mdFJBEAE!2m1!1s0x0:0xe62be65ac168e605!3m1!1s2@1:CIHM0ogKEICAgICj8-ftRA%7CCgwIl52qsQYQqODWkgI%7C?hl=en","107164251168906655179","1","https://lh3.googleusercontent.com/a-/ALV-UjWeeh-P81abHUyenB97bQ0cmFdXqJLU02c1HFazcXiqoHXdA5-c=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107164251168906655179?hl=en","23","Direct Detail URL: https://www.google.com/maps/search/?api=1&query=ChIJVwTi2JSLkogRBeZowVrmK-Y&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y","5",,,"false","Great customer service! Super sweet people! Fast turn around! Thanks!",,"Dr. Watts Electric Service","4.8","https://www.google.com/maps/search/?api=1&query=Dr.%20Watts%20Electric%20Service&query_place_id=ChIJVwTi2JSLkogRBeZowVrmK-Y",
