"rating","reviewContext/null","text","name"
,,"Not recommended.","Tracy McGuire"
,,"Run don’t walk away from this electrician. Actually to call this person an electrician is an insult to all electricians everywhere. They were asked to add an outlet in the hallway of this home and they used a hammer to knock a hole in the paneling and just shoved an outlet in the hole without a junction box and they connected the outlet to a circuit that was ungrounded so he cut the ground wire out and didn’t gfi protect it. This guy made many, many other code violations in this house. And I would be surprised if this person were actually licensed with the state. If they are licensed they need to be reported to the state board of licenses for official review. Anyone who willfully violates Electrical codes with this much reckless abandon and actually charges people for it needs to be run out of business. I say all of this because I am a state licensed master electrician and I was called in to clean up this guys mess.","shane roney"
,,,"James Evans"
,,"Ok, so they have a $150 fee to come out. It's honestly worth it. We had 4 outlets stop working entirely in our tiny home and didn't know what to do because nothing seemed wrong. Two guys showed up. They were as prepared as they could ever be, found the wire problem (that was in the ceiling, mind you), and got us back to full operation within an hour. They were good sports too, even explained what they were doing in a way I could understand. 10/10 would and will call again when something else happens. Thank you.","Jelly Starfish"
,,"Dr. Watts electrical company is incredible -

2 days ago, my family’s A/C and dryer were not getting any electricity from our house’s breaker box due to a malfunction. After consulting with two other electricians, I was being told that the only solution would be to replace the entire breaker box - a solution that is not simple nor cheap.

However, we called Dr. Watts as a final hope and he came through. And it only took 25 minutes.

Not only did he fix our A/C and dryer’s electrical issues, he actually took the time the fix up the rest of our electrical wiring in the breaker box, and then explained to my wife and I the work he did, and why what he did was successful.

I will be contacting Dr. Watts for any and all services, and I highly recommend him as the go-to electrician in the Fort Novosel / Enterprise / Daleville / Ozark / Dothan Alabama area.","Nicholas J. VanSlyke"
,,"They showed up exactly when they said they would and did an excellent job!  I would recommend them!!!","Gail Scott"
,,"On time,good work,and very reasonable prices.I would highly recommend","Linda Council"
,,"Great customer service! Super sweet people! Fast turn around! Thanks!","Tara Knight"
,,"I needed some fans hung around the house so I gave Dr. watts a call. They were easy to schedule and showed up on time. The guys were quick and nice about getting the job done. All said they hung 4 fans for us in about 1.5 hours. The pricing was also very fair. If you’re looking for someone who knows what they’re doing, will be on time, and get the job done in a timely manner these are the dudes to call. They’ll be the only folks I call for any type of electrician work from here on out.","Lance Hughes"
,,,"Jacky Ward"
,,"Jamie at Dr. Watts Electric gets the job done quick and does thorough, great work! I needed a plug installed in a closet and he came quickly and had it done in no time. I will absolutely be calling Dr. Watts Electric for future electric and lighting needs!!!","Megan Watson"
,"Yes","My husband and I hired Dr. Watts upon the recommendation of a friend. We highly recommend and will use for any future needs. He upgraded our electrical panel and added the needed wiring for our HVAC unit as well as converted our hot water heater from gas to electric. Very professional, knowledgeable, and honest. Communication was also excellent as he not only communicated with my husband and myself but communicated with the company we hired to install our HVAC unit.","christy strain"
,"Yes","Was recommended Jamie for electrical repair by a friend from Dothan Transmissions and I’m so thrilled with my experience. Jamie came right out and knocked out an electrical repair in such a professional timely cost efficient manner. He went above and beyond and I highly recommend him for any electrical repairs!","RICK JAMES"
,"Yes","JAMIE is very professional- on time every time- communication is top notch- provides the work as stated- will be our electrician always.  The job- provided 50 amp breaker to main box and added an emergency breaker - ran electrical and underground - hook up to our Swim spa","John Groves"
,,,"Charlotte Singley"
,"Yes","We were very pleased with our service. Mr.Mcnelley was on time, very professional and completed work quickly. Good quality work and communication, easy to work with. We will definitely use this service again and will recommend him to others.","Daphne Marden"
,"Yes","I really wished my husband called for a estimate first but he was too sick to make that decision and we had a breaker going out. However the part only cost $140 and they charged us $$203 then on top of that $150 labor. We had no problem with the labor part of it  but overcharging for parts is pathetic.  We will pass this down to family and friends and tell them not to use you guys. Also the last 2 review comments is from someone in the company anyway so of course the comments are going be positive. This company is a greedy company and only to gain profit from overcharging parts.  Now they may see this and do better. I cannot say but they won't be getting our buisness
##Dissapointed","Ronda Barnes"
,"Yes","Unfortunately in my area it’s hard to find great professionals in any area of home construct/repair.  So when you find someone reliable and knowledgeable about their trade - it’s like hitting gold! Dr. Watts and team are our goto electrical pros. We wouldn’t go to anyone else. They are the absolute best.","Jojo Glowacki"
