about,area_service,booking_appointment_link,borough,business_status,category,cid,city,country,country_code,email_1,email_1.emails_validator.status,email_1.emails_validator.status_details,facebook,full_address,google_id,h3,kgmid,latitude,location_link,location_reviews_link,logo,longitude,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,phone.whitepages_phones.fastbackgroundcheck,phone_1,phone_1.phones_enricher.carrier_name,phone_1.phones_enricher.carrier_type,phone_1.whitepages_phones.address,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_1.whitepages_phones.source_url,photo,photos_count,place_id,postal_code,query,rating,reviews,reviews_id,reviews_link,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,state,street,street_view,subtypes,time_zone,type,us_state,verified,working_hours,working_hours_old_format,color1,color2
"{""Service options"": {""Online estimates"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Planning"": {""Appointment required"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",False,,,OPERATIONAL,Electrician,1.17787e+19,Alabaster,United States of America,US,,,,,"216 Hickory Hills Dr, Alabaster, AL 35007",0x24b875db1ffe697f:0xa37683586af13353,8944e8af2bbffff,/g/11s5ywqdp0,33.2557951,"https://www.google.com/maps/place/Dupree+Electrical/@33.2557951,-86.8092123,14z/data=!4m8!1m2!2m1!1sDupree+Electrical!3m4!1s0x24b875db1ffe697f:0xa37683586af13353!8m2!3d33.2557951!4d-86.8092123","https://www.google.com/maps/place/Dupree+Electrical/@33.2557951,-86.8092123,13.99z/data=!4m16!1m7!3m6!1s0x24b875db1ffe697f:0xa37683586af13353!2sDupree+Electrical!8m2!3d33.2557951!4d-86.8092123!16s%2Fg%2F11ckvg1dmb!3m7!1s0x24b875db1ffe697f:0xa37683586af13353!8m2!3d33.2557951!4d-86.8092123!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-K0HLscLKkBs/AAAAAAAAAAI/AAAAAAAAAAA/qNA17JkNyMo/s44-p-k-no-ns-nd/photo.jpg,-86.8092123,Dupree Electrical,Dupree Electrical,,,109708643206372480667,https://www.google.com/maps/contrib/109708643206372480667,Dupree Electrical,+1 205-784-8512,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNgMzc10VSSKZDTeMRwMaHXBLHBJpGDoSTr8LHP=w800-h500-k-no,37,ChIJf2n-H9t1uCQRUzPxaliDdqM,35007.0,"electrician, 35244, Birmingham, AL, US",5.0,5.0,-6.667997782500888e+18,"https://search.google.com/local/reviews?placeid=ChIJf2n-H9t1uCQRUzPxaliDdqM&q=electrician,+35244,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,5.0,Alabama,216 Hickory Hills Dr,https://lh5.googleusercontent.com/p/AF1QipNgMzc10VSSKZDTeMRwMaHXBLHBJpGDoSTr8LHP=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,1,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-3PM"", ""Sunday"": ""Closed""}",Monday:7AM-5PM|Tuesday:7AM-5PM|Wednesday:7AM-5PM|Thursday:7AM-5PM|Friday:7AM-5PM|Saturday:7AM-3PM|Sunday:Closed,,
{},True,,,OPERATIONAL,Electrician,1.93787e+18,,,,,,,,,0x88893fdf390cf27b:0x1ae4afc31cf59447,8944e83634fffff,/g/11k7d4nz0p,33.4309505,"https://www.google.com/maps/place/JD+Allen+Services/@33.4309505,-86.8413174,14z/data=!4m8!1m2!2m1!1sJD+Allen+Services!3m4!1s0x88893fdf390cf27b:0x1ae4afc31cf59447!8m2!3d33.4309505!4d-86.8413174","https://www.google.com/maps/place/JD+Allen+Services/@33.4309505,-86.8413174,13.99z/data=!4m16!1m7!3m6!1s0x88893fdf390cf27b:0x1ae4afc31cf59447!2sJD+Allen+Services!8m2!3d33.4309505!4d-86.8413174!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88893fdf390cf27b:0x1ae4afc31cf59447!8m2!3d33.4309505!4d-86.8413174!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-sTanf9ebrBQ/AAAAAAAAAAI/AAAAAAAAAAA/EWGnf5MqbrE/s44-p-k-no-ns-nd/photo.jpg,-86.8413174,JD Allen Services,Jd Allen Services,,,110963939638326021953,https://www.google.com/maps/contrib/110963939638326021953,JD Allen Services,+1 205-966-2590,,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNRsWmWFmOWBhJm8uWJGJW7-AlvjVmf-BIUa4f_=w800-h500-k-no,13,ChIJe_IMOd8_iYgRR5T1HMOv5Bo,,"electrician, 35244, Birmingham, AL, US",1.0,1.0,1.9378669922154957e+18,"https://search.google.com/local/reviews?placeid=ChIJe_IMOd8_iYgRR5T1HMOv5Bo&q=electrician,+35244,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",1.0,0.0,0.0,0.0,0.0,,,https://lh5.googleusercontent.com/p/AF1QipNRsWmWFmOWBhJm8uWJGJW7-AlvjVmf-BIUa4f_=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:8AM-5PM|Tuesday:8AM-5PM|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-5PM|Saturday:Closed|Sunday:Closed,#bcb414,#7c767e
"{""Service options"": {""Online estimates"": false, ""Onsite services"": false}, ""Planning"": {""Appointment required"": true}}",False,,,OPERATIONAL,Electrician,7.27399e+18,Birmingham,United States of America,US,,,,,"1705 Serene Cir, Birmingham, AL 35215",0x88890f382fa2da89:0x64f263e4c91472fb,8944e82ee97ffff,/g/11fj2tw48g,33.627996,"https://www.google.com/maps/place/Robinson+Electrical+Contractors+LLC/@33.627995999999996,-86.6680343,14z/data=!4m8!1m2!2m1!1sRobinson+Electrical+Contractors+LLC!3m4!1s0x88890f382fa2da89:0x64f263e4c91472fb!8m2!3d33.627995999999996!4d-86.6680343","https://www.google.com/maps/place/Robinson+Electrical+Contractors+LLC/@33.627995999999996,-86.6680343,13.99z/data=!4m16!1m7!3m6!1s0x88890f382fa2da89:0x64f263e4c91472fb!2sRobinson+Electrical+Contractors+LLC!8m2!3d33.627995999999996!4d-86.6680343!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88890f382fa2da89:0x64f263e4c91472fb!8m2!3d33.627995999999996!4d-86.6680343!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-rBDbfiK_dng/AAAAAAAAAAI/AAAAAAAAAAA/l6TtN696ASc/s44-p-k-no-ns-nd/photo.jpg,-86.6680343,Robinson Electrical Contractors LLC,Robinson Electrical Contractors,,,118284036643464179165,https://www.google.com/maps/contrib/118284036643464179165,Robinson Electrical Contractors LLC,+1 205-597-9462,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNHBboIDL-LU0UJLF9hj5hxkt8K9HVYuUNGA2I=w800-h500-k-no,21,ChIJidqiLzgPiYgR-3IUyeRj8mQ,35215.0,"electrician, 35249, Birmingham, AL, US",4.7,11.0,7.273986182434026e+18,"https://search.google.com/local/reviews?placeid=ChIJidqiLzgPiYgR-3IUyeRj8mQ&q=electrician,+35249,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",0.0,1.0,0.0,0.0,10.0,Alabama,1705 Serene Cir,https://lh5.googleusercontent.com/p/AF1QipNHBboIDL-LU0UJLF9hj5hxkt8K9HVYuUNGA2I=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,1,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""8:30AM-5PM"", ""Sunday"": ""Closed""}",Monday:8AM-5PM|Tuesday:8AM-5PM|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-5PM|Saturday:8:30AM-5PM|Sunday:Closed,,
{},True,,,OPERATIONAL,Electrician,1.29429e+19,,,,,,,,,0x8888af66bcf7a1b1:0xb39e8f1b5b265a1e,8944e9d3543ffff,/g/11ftkhd8y1,33.3136265,"https://www.google.com/maps/place/Ryan+Electrical+Services+LLC/@33.3136265,-87.1433564,14z/data=!4m8!1m2!2m1!1sRyan+Electrical+Services+LLC!3m4!1s0x8888af66bcf7a1b1:0xb39e8f1b5b265a1e!8m2!3d33.3136265!4d-87.1433564","https://www.google.com/maps/place/Ryan+Electrical+Services+LLC/@33.3136265,-87.1433564,13.99z/data=!4m16!1m7!3m6!1s0x8888af66bcf7a1b1:0xb39e8f1b5b265a1e!2sRyan+Electrical+Services+LLC!8m2!3d33.3136265!4d-87.1433564!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8888af66bcf7a1b1:0xb39e8f1b5b265a1e!8m2!3d33.3136265!4d-87.1433564!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-giKcaif5vDU/AAAAAAAAAAI/AAAAAAAAAAA/O8nMjvIvgNQ/s44-p-k-no-ns-nd/photo.jpg,-87.1433564,Ryan Electrical Services LLC,Ryan Electrical Services,,,100458830125203665613,https://www.google.com/maps/contrib/100458830125203665613,Ryan Electrical Services LLC,+1 205-239-1133,,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOc9nrowKybFG24qSRxKrRvHgWAl6csdSkqBzHY=w800-h500-k-no,12,ChIJsaH3vGaviIgRHlomWxuPnrM,,"electrician, 35401, Tuscaloosa, AL, US",5.0,5.0,-5.503804346944038e+18,"https://search.google.com/local/reviews?placeid=ChIJsaH3vGaviIgRHlomWxuPnrM&q=electrician,+35401,+Tuscaloosa,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,5.0,,,https://lh5.googleusercontent.com/p/AF1QipOc9nrowKybFG24qSRxKrRvHgWAl6csdSkqBzHY=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,,,#7f7f7f,#6c6c6c
{},False,,,OPERATIONAL,Electrician,1.68695e+19,Trinity,United States of America,US,,,,,"6706 Co Rd 434, Trinity, AL 35673",0x8862994912e515ff:0xea1caa27b33cd34a,89264966473ffff,/g/11b7cgqmft,34.5712445,"https://www.google.com/maps/place/Jeff+Turner+Electrical/@34.5712445,-87.15899569999999,14z/data=!4m8!1m2!2m1!1sJeff+Turner+Electrical!3m4!1s0x8862994912e515ff:0xea1caa27b33cd34a!8m2!3d34.5712445!4d-87.15899569999999","https://www.google.com/maps/place/Jeff+Turner+Electrical/@34.5712445,-87.15899569999999,13.99z/data=!4m16!1m7!3m6!1s0x8862994912e515ff:0xea1caa27b33cd34a!2sJeff+Turner+Electrical!8m2!3d34.5712445!4d-87.15899569999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8862994912e515ff:0xea1caa27b33cd34a!8m2!3d34.5712445!4d-87.15899569999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-eg5V3A8hg0E/AAAAAAAAAAI/AAAAAAAAAAA/sj72YOovYkY/s44-p-k-no-ns-nd/photo.jpg,-87.1589957,Jeff Turner Electrical,Jeff Turner Electrical,,,114056926763106969862,https://www.google.com/maps/contrib/114056926763106969862,Jeff Turner Electrical,+1 256-606-1677,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNDrD-T9zUzT0Ou2lTvaIEzfN3Ka4mACjCIjaAe=w800-h500-k-no,171,ChIJ_xXlEkmZYogRStM8syeqHOo,35673.0,"electrician, 35443, Boligee, AL, US",5.0,7.0,-1.577198681998962e+18,"https://search.google.com/local/reviews?placeid=ChIJ_xXlEkmZYogRStM8syeqHOo&q=electrician,+35443,+Boligee,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,7.0,Alabama,6706 Co Rd 434,https://lh5.googleusercontent.com/p/AF1QipNDrD-T9zUzT0Ou2lTvaIEzfN3Ka4mACjCIjaAe=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,1,"{""Monday"": ""7AM-4:30PM"", ""Tuesday"": ""7AM-4:30PM"", ""Wednesday"": ""7AM-4:30PM"", ""Thursday"": ""7AM-4:30PM"", ""Friday"": ""7AM-4:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:7AM-4:30PM|Tuesday:7AM-4:30PM|Wednesday:7AM-4:30PM|Thursday:7AM-4:30PM|Friday:7AM-4:30PM|Saturday:Closed|Sunday:Closed,#74742c,#948671
{},True,,,OPERATIONAL,Electrician,5.98875e+18,,,,,,,,,0x4b626ece30a8e921:0x531c4dc29984b4e1,8944e83634fffff,/g/11s5byvh8t,33.4309505,"https://www.google.com/maps/place/All+Source+Electrical+and+Lightning+Services+llc/@33.4309505,-86.8413174,14z/data=!4m8!1m2!2m1!1sAll+Source+Electrical+and+Lightning+Services+llc!3m4!1s0x4b626ece30a8e921:0x531c4dc29984b4e1!8m2!3d33.4309505!4d-86.8413174","https://www.google.com/maps/place/All+Source+Electrical+and+Lightning+Services+llc/@33.4309505,-86.8413174,13.99z/data=!4m16!1m7!3m6!1s0x4b626ece30a8e921:0x531c4dc29984b4e1!2sAll+Source+Electrical+and+Lightning+Services+llc!8m2!3d33.4309505!4d-86.8413174!16s%2Fg%2F11ckvg1dmb!3m7!1s0x4b626ece30a8e921:0x531c4dc29984b4e1!8m2!3d33.4309505!4d-86.8413174!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-IhUJAcSFy3k/AAAAAAAAAAI/AAAAAAAAAAA/MfaSmevpyeU/s44-p-k-no-ns-nd/photo.jpg,-86.8413174,All Source Electrical and Lightning Services llc,All Source Electrical And Lightning Services,,,110140357982903886149,https://www.google.com/maps/contrib/110140357982903886149,All Source Electrical and Lightning Services llc,+1 205-999-9832,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOVGLSD7CykeAhex8xcai_p67EQeQewGrXFds8a=w800-h500-k-no,10,ChIJIemoMM5uYksR4bSEmcJNHFM,,"electrician, 35444, Brookwood, AL, US",5.0,10.0,5.988747102690522e+18,"https://search.google.com/local/reviews?placeid=ChIJIemoMM5uYksR4bSEmcJNHFM&q=electrician,+35444,+Brookwood,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,10.0,,,https://lh5.googleusercontent.com/p/AF1QipOVGLSD7CykeAhex8xcai_p67EQeQewGrXFds8a=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""7:30AM-4PM"", ""Tuesday"": ""7:30AM-4PM"", ""Wednesday"": ""7:30AM-4PM"", ""Thursday"": ""7:30AM-4PM"", ""Friday"": ""7:30AM-4PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:7:30AM-4PM|Tuesday:7:30AM-4PM|Wednesday:7:30AM-4PM|Thursday:7:30AM-4PM|Friday:7:30AM-4PM|Saturday:Closed|Sunday:Closed,,
"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}}",False,,,OPERATIONAL,Electrician,1.44045e+18,Lapine,United States of America,US,jceelectrical27@gmail.com,RECEIVING,SMTP validated,https://www.facebook.com/people/JCE-Electrical/100063453286864/,"837 Posey Rd, Lapine, AL 36046",0x888e0d4244b6f2ff:0x13fd7f7f689633d8,8944ec575cfffff,/g/11jv7l1b8f,31.9276711,"https://www.google.com/maps/place/JCE+Electrical/@31.927671099999998,-86.3888882,14z/data=!4m8!1m2!2m1!1sJCE+Electrical!3m4!1s0x888e0d4244b6f2ff:0x13fd7f7f689633d8!8m2!3d31.927671099999998!4d-86.3888882","https://www.google.com/maps/place/JCE+Electrical/@31.927671099999998,-86.3888882,13.99z/data=!4m16!1m7!3m6!1s0x888e0d4244b6f2ff:0x13fd7f7f689633d8!2sJCE+Electrical!8m2!3d31.927671099999998!4d-86.3888882!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888e0d4244b6f2ff:0x13fd7f7f689633d8!8m2!3d31.927671099999998!4d-86.3888882!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-kBtvVBWmt3E/AAAAAAAAAAI/AAAAAAAAAAA/GOtGR0jQuaI/s44-p-k-no-ns-nd/photo.jpg,-86.3888882,JCE Electrical,Jce Electrical,,,103773018719262645132,https://www.google.com/maps/contrib/103773018719262645132,JCE Electrical,+1 334-318-2044,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,13343182044,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,"100 Taylor Ln, Tallassee, Al 36078-3007",person,Eva Marie Mehler,,https://www.zabasearch.com/phone/3343182044/,https://lh5.googleusercontent.com/p/AF1QipPFiLiMy6_fM97wtz7Iebb5WeFYouTdo1_83evL=w800-h500-k-no,11,ChIJ__K2REINjogR2DOWaH9__RM,36046.0,"electrician, 35457, Echola, AL, US",4.6,7.0,1.440447641020675e+18,"https://search.google.com/local/reviews?placeid=ChIJ__K2REINjogR2DOWaH9__RM&q=electrician,+35457,+Echola,+AL,+US&authuser=0&hl=en&gl=US",0.0,1.0,0.0,0.0,6.0,Alabama,837 Posey Rd,https://lh5.googleusercontent.com/p/AF1QipPFiLiMy6_fM97wtz7Iebb5WeFYouTdo1_83evL=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,1,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:7AM-5PM|Tuesday:7AM-5PM|Wednesday:7AM-5PM|Thursday:7AM-5PM|Friday:7AM-5PM|Saturday:Closed|Sunday:Closed,#987d34,#9c9c44
"{""Service options"": {""Online estimates"": false}}",True,,,OPERATIONAL,Electrician,1.59607e+19,,,,,,,,,0x8887ab8400d0e21f:0xdd7fa501af5a152f,89445a7b2cfffff,/g/11mhr3z0ky,33.79116,"https://www.google.com/maps/place/Bowen+Electric/@33.79116,-88.11046189999999,14z/data=!4m8!1m2!2m1!1sBowen+Electric!3m4!1s0x8887ab8400d0e21f:0xdd7fa501af5a152f!8m2!3d33.79116!4d-88.11046189999999","https://www.google.com/maps/place/Bowen+Electric/@33.79116,-88.11046189999999,13.99z/data=!4m16!1m7!3m6!1s0x8887ab8400d0e21f:0xdd7fa501af5a152f!2sBowen+Electric!8m2!3d33.79116!4d-88.11046189999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8887ab8400d0e21f:0xdd7fa501af5a152f!8m2!3d33.79116!4d-88.11046189999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-NldtCwWh3SM/AAAAAAAAAAI/AAAAAAAAAAA/rsu3NHg16dg/s44-p-k-no-ns-nd/photo.jpg,-88.1104619,Bowen Electric,Bowen Electric,,,115562905921790643087,https://www.google.com/maps/contrib/115562905921790643087,Bowen Electric,+1 205-799-2531,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOHmdogW7mlSHyJDbAniZ-D0ZssVA_lCLVdHapC=w800-h500-k-no,17,ChIJH-LQAISrh4gRLxVarwGlf90,,"electrician, 35457, Echola, AL, US",5.0,2.0,-2.4860870426297574e+18,"https://search.google.com/local/reviews?placeid=ChIJH-LQAISrh4gRLxVarwGlf90&q=electrician,+35457,+Echola,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,2.0,,,https://lh5.googleusercontent.com/p/AF1QipOHmdogW7mlSHyJDbAniZ-D0ZssVA_lCLVdHapC=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,,,#817d7d,#858475
"{""Service options"": {""Online estimates"": false}, ""Planning"": {""Appointment required"": true}}",True,,,OPERATIONAL,Electrician,1.78998e+19,,,,whalenelectricservices@gmail.com,RECEIVING,SMTP validated,https://www.facebook.com/Whalen.Electric.Services/,,0x6ba1199573bff207:0xf868f3ceb237f8b1,8944e89300fffff,/g/11sg_h3h56,32.5762265,"https://www.google.com/maps/place/Whalen+Electric+Services%2C+LLC/@32.5762265,-86.6807364,14z/data=!4m8!1m2!2m1!1sWhalen+Electric+Services%2C+LLC!3m4!1s0x6ba1199573bff207:0xf868f3ceb237f8b1!8m2!3d32.5762265!4d-86.6807364","https://www.google.com/maps/place/Whalen+Electric+Services%2C+LLC/@32.5762265,-86.6807364,13.99z/data=!4m16!1m7!3m6!1s0x6ba1199573bff207:0xf868f3ceb237f8b1!2sWhalen+Electric+Services%2C+LLC!8m2!3d32.5762265!4d-86.6807364!16s%2Fg%2F11ckvg1dmb!3m7!1s0x6ba1199573bff207:0xf868f3ceb237f8b1!8m2!3d32.5762265!4d-86.6807364!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-NM-Q7Lz5HoI/AAAAAAAAAAI/AAAAAAAAAAA/OeeB264PaW0/s44-p-k-no-ns-nd/photo.jpg,-86.6807364,"Whalen Electric Services, LLC",Whalen Electric Services,,,117528775702066495453,https://www.google.com/maps/contrib/117528775702066495453,"Whalen Electric Services, LLC",+1 205-229-6267,,mobile,,12052296267,,mobile,"16 Monte Verde Ln, Montevallo, Al 35115-5442",person,Robert Brandon Whalen,Mobile,https://www.zabasearch.com/phone/2052296267/,https://lh5.googleusercontent.com/p/AF1QipOEdG6ng40npRRgwrZyOYcpr_EZkg0BI_W44ZxB=w800-h500-k-no,18,ChIJB_K_c5UZoWsRsfg3ss7zaPg,,"electrician, 35459, Emelle, AL, US",5.0,28.0,-5.469192856466901e+17,"https://search.google.com/local/reviews?placeid=ChIJB_K_c5UZoWsRsfg3ss7zaPg&q=electrician,+35459,+Emelle,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,28.0,,,https://lh5.googleusercontent.com/p/AF1QipOEdG6ng40npRRgwrZyOYcpr_EZkg0BI_W44ZxB=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:7AM-5PM|Tuesday:7AM-5PM|Wednesday:7AM-5PM|Thursday:7AM-5PM|Friday:7AM-5PM|Saturday:Closed|Sunday:Closed,,
"{""Service options"": {""Online estimates"": true}}",True,,,OPERATIONAL,Electrician,2.12734e+18,,,,,,,,,0x647502dc8a32ccb5:0x1d85d3fcef2f00dc,89445a89ca7ffff,/g/11pxs3j4j0,33.328166,"https://www.google.com/maps/place/Mounting+High+LLC/@33.328165999999996,-88.61275599999999,14z/data=!4m8!1m2!2m1!1sMounting+High+LLC!3m4!1s0x647502dc8a32ccb5:0x1d85d3fcef2f00dc!8m2!3d33.328165999999996!4d-88.61275599999999","https://www.google.com/maps/place/Mounting+High+LLC/@33.328165999999996,-88.61275599999999,13.99z/data=!4m16!1m7!3m6!1s0x647502dc8a32ccb5:0x1d85d3fcef2f00dc!2sMounting+High+LLC!8m2!3d33.328165999999996!4d-88.61275599999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x647502dc8a32ccb5:0x1d85d3fcef2f00dc!8m2!3d33.328165999999996!4d-88.61275599999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-Xe51Y1cTrjY/AAAAAAAAAAI/AAAAAAAAAAA/X4M0ReBt9bM/s44-p-k-no-ns-nd/photo.jpg,-88.612756,Mounting High LLC,Mounting High,,,106827419501696202884,https://www.google.com/maps/contrib/106827419501696202884,Mounting High LLC,+1 662-251-8472,"CELLULAR SOUTH, INC.",mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipONLXPfxR9LN1KNv-XqqoFSXUdvDCWDzxzzu5Wp=w800-h500-k-no,29,ChIJtcwyitwCdWQR3AAv7_zThR0,,"electrician, 35461, Ethelsville, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipONLXPfxR9LN1KNv-XqqoFSXUdvDCWDzxzzu5Wp=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,#846c34,#a4946c
